Job_ID,Agency,Posting_Type,#_Of_Positions,Business_Title,Civil_Service_Title,Level,Job_Category,Full-Time/Part-Time_indicator,Salary_Range_From,Salary_Range_To,Salary_Frequency,Work_Location,Division/Work_Unit,Preferred_Skills,Hours/Shift,Work_Location_1,Residency_Requirement,Posting_Date,Post_Until,Posting_Updated,Process_Date,salary_from,salary_to,avg_salary,salary_range_diff,posting_year,job_posting_age_days,has_masters_degree
160910,DEPT OF INFO TECH & TELECOMM,Internal,1,"Deputy Director, Audits and Accounts",ADM MANAGER-NON-MGRL FRM M1/M2,0,"Finance, Accounting, & Procurement",F,49492,60000,Annual,75 Park Place New York Ny,Financial Services,18 months of which must have been in an administrative,"full-time progressively responsible experience as described in \"\"1\"\"  above",18 months of which must have been in an administrative,"executive or supervisory capacity. The supervisory work must have been in the  supervision of staff performing clerical/administrative work of more than  moderate difficulty; or  4. Education and/or experience equivalent to \"\"1\"\"","",all  candidates must possess the 18 months of administrative,managerial,"executive or supervisory experience as described in \"\"1\"\"",49492.0,60000.0,54746.0,10508.0,"","",0
167179,NYC EMPLOYEES RETIREMENT SYS,External,1,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",CERT. IT ADMINISTRATOR WAN,4,Information Technology & Telecommunications,F,87203,131623,Annual,"335 Adams Street, Brooklyn Ny",Executive Management,"all candidates must have at least one year of satisfactory (not classroom based) full-time information technology experience as described in \"\"1\"\" above.\"","\"To apply please click the \"\"apply now\"\" button.  Please add job vacancy number 009-15-0014 to your resume and cover letter.\"","","","",2014-11-19T00:00:00.000,"",2014-11-19T00:00:00.000,87203.0,131623.0,109413.0,44420.0,"","",1
167179,NYC EMPLOYEES RETIREMENT SYS,Internal,1,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",CERT. IT ADMINISTRATOR WAN,4,Information Technology & Telecommunications,F,87203,131623,Annual,"335 Adams Street, Brooklyn Ny",Executive Management,"all candidates must have at least one year of satisfactory (not classroom based) full-time information technology experience as described in \"\"1\"\" above.\"","\"To apply please click the \"\"apply now\"\" button.  Please add job vacancy number 009-15-0014 to your resume and cover letter.\"","","","",2014-11-19T00:00:00.000,"",2014-11-19T00:00:00.000,87203.0,131623.0,109413.0,44420.0,"","",1
170989,OFFICE OF COLLECTIVE BARGAININ,Internal,1,COLLEGE AIDE - CLERICAL,COLLEGE AIDE (ALL CITY DEPTS),1,Clerical & Administrative Support,P,8.75,10.36,Hourly,100 Gold Street,Administration,1.	Excellent interpersonal communication skills  2.	Strong work ethic and attention to detail  3.	Familiarity with Microsoft Office Suite,"Hours:  17 hours per week when school is in session, or 35 hours per week during the summer vacation.                         Shift:    Weekdays/minimum three (3) mornings per week.","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/09/2014,"",2014-10-16T00:00:00.000,2019-12-17T00:00:00.000,8.75,10.36,9.555,1.6099999999999994,2014,"",0
170989,OFFICE OF COLLECTIVE BARGAININ,External,1,COLLEGE AIDE - CLERICAL,COLLEGE AIDE (ALL CITY DEPTS),1,Clerical & Administrative Support,P,8.75,10.36,Hourly,100 Gold Street,Administration,1.	Excellent interpersonal communication skills  2.	Strong work ethic and attention to detail  3.	Familiarity with Microsoft Office Suite,"Hours:  17 hours per week when school is in session, or 35 hours per week during the summer vacation.                         Shift:    Weekdays/minimum three (3) mornings per week.","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/09/2014,"",2014-10-16T00:00:00.000,2019-12-17T00:00:00.000,8.75,10.36,9.555,1.6099999999999994,2014,"",0
171040,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Clerical Associate, Bureau of Communicable Diseases",CLERICAL ASSOCIATE,3,Clerical & Administrative Support,F,32086,51981,Annual,42-09 28th Street,Communicable Diseases,"-	Good writing and verbal communication skills  -	Strong typing skills with speed and accuracy   -	Familiarity with Word, Access, and Excel  -	Experience with entering data into databases from questionnaires or other forms  -	Strong organizational and tim","","42-09 28th Street, Queens, NY, 11101","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",10/08/2014,"",2014-10-08T00:00:00.000,2019-12-17T00:00:00.000,32086.0,51981.0,42033.5,19895.0,2014,"",0
171944,DEPT OF INFO TECH & TELECOMM,Internal,1,"Deputy Director, Audits and Accounts",COMPUTER ASSOC (TECH SUPP),1,"Finance, Accounting, & Procurement Information Technology & Telecommunications","",43292,53000,Annual,75 Park Place New York Ny,Financial Services,acquired with the last seven years,"or \"\"3\"\" above.  Undergraduate college credit can be substituted for experience on the basis of 30 semester credits",from an accredited college,all candidates must have at least a four-year high school diploma or its educational equivalent and two years of satisfactory full-time mainframe computer,"",and/or LAN or WAN computer experience,acquired within the last seven years,in the areas of tape library,43292.0,53000.0,48146.0,9708.0,"","",0
172053,DEPT OF INFO TECH & TELECOMM,Internal,1,311 Call Center Manager,ADM MANAGER-NON-MGRL FRM M1/M2,0,Community & Business Services,F,49492,69000,Annual,59 Maiden Lane,311 Operations,18 months of which must have been in an administrative,"full-time progressively responsible experience as described in \"\"1\"\"  above",18 months of which must have been in an administrative,"executive or supervisory capacity. The supervisory work must have been in the  supervision of staff performing clerical/administrative work of more than  moderate difficulty; or  4. Education and/or experience equivalent to \"\"1\"\"","",all  candidates must possess the 18 months of administrative,managerial,"executive or supervisory experience as described in \"\"1\"\"",49492.0,69000.0,59246.0,19508.0,"","",0
175362,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Clerical Associate, Bureau of Vital Statistics",CLERICAL ASSOCIATE,3,Clerical & Administrative Support,F,32086,51981,Annual,"125 Worth Street, Nyc",Vital Statistics/Vital Recor,"Experience with computerized systems; Knowledge of detailed record keeping systems; ability to work under pressure; excellent oral, written, administrative and interpersonal skills.","","125 Worth Street, NY, NY, 10013","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",11/18/2014,"",2014-11-18T00:00:00.000,2019-12-17T00:00:00.000,32086.0,51981.0,42033.5,19895.0,2014,"",0
177048,DEPT OF INFO TECH & TELECOMM,Internal,1,Application Support Reporting Specialist,COMPUTER SPECIALIST (SOFTWARE),3,Information Technology & Telecommunications,"",81290,95896,Annual,2 Metro Tech,Develop & Integration Services,including one year in a project leader capacity or as a major contributor on a complex project; or  (3) A satisfactory combination of education and experience that is equivalent to (1) or (2) above. College education may be substituted for up to two years of the required experience in (2) above on the basis that sixty (60) semester credits from an accredited college is equated to one year of experience. A masters degree in computer science or a related computer field may be substituted for one year of the required experience in (1) or (2) above. However,you must explain in detail how your experience qualifies you as a project leader or as a major contributor. Experience in computer operations,technical support,hardware installation,"",or as an end user will not be accepted for meeting the minimum qualification  requirements.  Special Note  To be eligible for placement in Assignment Level IV,in addition to the Qualification Requirements stated above,individuals must have one year of satisfactory experience in a project leader capacity or as a major contributor on a complex project in data administration,81290.0,95896.0,88593.0,14606.0,"","",0
183112,DEPT OF INFO TECH & TELECOMM,Internal,1,GIS Analyst,COMPUTER PROGRAMMER ANALYST,1,Information Technology & Telecommunications,F,45174,62370,Annual,2 Metro Tech,Develop & Integration Services,"The successful candidate should possess the following: A degree in GIS, Geography, Engineering, Planning or a similar field with at least four years GIS experience; proficient in GIS principles (scale, projections, coordinate systems, cartography, topology); experience with ESRI ArcGIS desktop software, strong written and oral communication skills; detail oriented and able to work alone with minimal supervision; and proven ability to work in a team environment on demanding projects; advanced experience with ESRI s ArcGIS Desktop software; experience editing geospatial data in a multi-user versioned editing environment; experience working in an enterprise geodatabase; experience using Python, Model Builder, and ESRIâ€™s Data Interoperability extension.","Due to the necessary technical support duties of this position in a 24/7 operation, candidate may be required to work various shifts such as weekends and/or nights/evenings.","Brooklyn, NY",New York City Residency is not required for this position,02/12/2015,"",2015-02-12T00:00:00.000,2019-12-17T00:00:00.000,45174.0,62370.0,53772.0,17196.0,2015,"",0
183500,LAW DEPARTMENT,Internal,1,Facilities Central Supervisor,CLERICAL ASSOCIATE,3,Clerical & Administrative Support,F,32086,51981,Annual,"100 Church St., N.Y.",Admin Services,"Must be proficient in Microsoft Office applications, such as Excel, Outlook and Word.    Must also be detail-oriented, have the ability to multi-task, is a quick learner and a team player.","","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",02/20/2015,"",2015-02-20T00:00:00.000,2019-12-17T00:00:00.000,32086.0,51981.0,42033.5,19895.0,2015,"",0
184328,DEPT OF INFO TECH & TELECOMM,Internal,1,"Director, Infrastructure Build Coordinator",COMPUTER SYSTEMS MANAGER,M1,Information Technology & Telecommunications,"",49492,100000,Annual,2 Metro Tech,Public Safety IT Services,"\"\"2\"\" or \"\"3\"\" above. However",managerial,"executive or supervisory experience as described in  \"\"1\"\" above.  Qualification Requirements (continued)  NOTE: The following types of experience are not acceptable: superficial use of preprogrammed software without complex programming","implementation or management of the product; use of word processing packages; use of a hand held calculator; primarily the entering or updating of data in a system; the operation of data processing hardware or consoles.\"","","","For DoITT Employees Only  Please go to Employee Self Service (ESS), click on Recruiting Activities > Careers, and search for Job ID #184328  -or-   If you do not have access to a computer, please mail resume indicating Job ID # to:  Department of Information Technology and Telecommunications (DoITT)  Recruitment Office - 255 Greenwich Street - 9th Floor - New York, NY 10007    SUBMISSION OF A RESUME IS NOT A GUARANTEE THAT YOU WILL RECEIVE AN INTERVIEW  APPOINTMENTS ARE SUBJECT TO OVERSIGHT APPROVAL","Day - Due to the necessary technical management duties of this position in a 24/7 operation, candidate may be required to be on call and/or work various shifts such as weekends and/or nights/evenings.",49492.0,100000.0,74746.0,50508.0,"","",1
185056,LAW DEPARTMENT,Internal,3,Paralegal Aide,PARALEGAL AIDE,2,Clerical & Administrative Support Legal,F,38089,53300,Annual,"100 Church St., N.Y.",Family Court: New York,"Additional Qualification Requirements for Level 2:  A baccalaureate degree from an accredited college and either (a) 1 year of full-time satisfactory experience acquired in the United States, in the performance of paralegal (legal assistant) services; or (b) Paralegal Certification obtained in the United States from an accredited program or a program approved by the American Bar Association; or  A baccalaureate degree from an accredited college including or supplemented by a combination of 12 semester credits in U.S. History, U.S. Political Science, U.S. Law, U.S. Paralegal Studies, U.S. Criminal Justice, urban studies, international relations and/or legal studies; or  An associate degree or completion of 60 credits from an accredited college and three years of full-time satisfactory experience acquired in the United States, in the performance of paralegal (legal assistant) services; or  A four year high school diploma or its educational equivalent approved by a State's Department of Education or a recognized accrediting organization and five years of full-time satisfactory experience acquired in the United States, in the performance of paralegal (legal assistant) services.  Experience which is primarily legal secretarial or includes only incidental paralegal (legal assistant) services is not acceptable.  To be acceptable, experience in paralegal (legal assistant) services must have involved the American Legal System.  Candidates are preferred to be able to work independently, be assertive, highly organized, detail-oriented and have excellent computer skills, and written and oral communication skills.  Candidates should be able to create and edit documents in Microsoft Word and Excel.   Candidates are preferred to be computer proficient in Microsoft Word, Excel, PowerPoint, Outlook and other Microsoft Office applications.  As well as FileSite and Law Manager.","","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",03/16/2015,"",2015-05-20T00:00:00.000,2019-12-17T00:00:00.000,38089.0,53300.0,45694.5,15211.0,2015,"",0
187049,NYC HOUSING AUTHORITY,External,3,HIGH PRESSURE PLANT TENDER,HIGH PRESSURE PLANT TENDER,0,Maintenance & Operations,F,65458.8,65458.8,Annual,Heating Mgt-Operations,Technical Services Department,"1.	Broad based knowledge and experience working with multiple types of burners, boilers, hot water generators, vacuum pumps and various other heating equipment components.  2.	Hands-on experience in the maintenance and repair of various heating equipment.  3.	Excellent trouble-shooting ability and mechanical aptitude.  4.	Ability to work independently and in a team environment.","","",NYCHA has no residency requirements.,04/15/2015,"",2015-12-08T00:00:00.000,2019-12-17T00:00:00.000,65458.8,65458.8,65458.8,0.0,2015,"",0
187049,NYC HOUSING AUTHORITY,Internal,3,HIGH PRESSURE PLANT TENDER,HIGH PRESSURE PLANT TENDER,0,Maintenance & Operations,F,65458.8,65458.8,Annual,Heating Mgt-Operations,Technical Services Department,"1.	Broad based knowledge and experience working with multiple types of burners, boilers, hot water generators, vacuum pumps and various other heating equipment components.  2.	Hands-on experience in the maintenance and repair of various heating equipment.  3.	Excellent trouble-shooting ability and mechanical aptitude.  4.	Ability to work independently and in a team environment.","","",NYCHA has no residency requirements.,04/15/2015,"",2015-12-08T00:00:00.000,2019-12-17T00:00:00.000,65458.8,65458.8,65458.8,0.0,2015,"",0
187714,ADMIN FOR CHILDREN'S SVCS,Internal,1,Network Engineer I LAN/WAN,CERTIFIED IT ADMINISTRATOR LAN,1,Information Technology & Telecommunications,F,72260,98163,Annual,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt","all candidates must have at least one year of satisfactory (not classroom based) full-time information technology experience as described in \"\"1\"\" above.  Note:   In addition to meeting the minimum Qualification Requirements:   Incumbents may be required to update existing and/or obtain additional professional industry-standard certification(s) for current and future technical environment(s) in which they may be assigned to work",Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.    The City of New York and the Administration for Childrenâ€™s Services are Equal Opportunity Employers Committed to Diversity,"\"Click on the \"\"Apply Now\"\" Button.\"","","",New York City Residency is not required for this position,2015-03-30T00:00:00.000,"",72260.0,98163.0,85211.5,25903.0,"","",1
187714,ADMIN FOR CHILDREN'S SVCS,External,1,Network Engineer I LAN/WAN,CERTIFIED IT ADMINISTRATOR LAN,1,Information Technology & Telecommunications,F,72260,98163,Annual,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt","all candidates must have at least one year of satisfactory (not classroom based) full-time information technology experience as described in \"\"1\"\" above.  Note:   In addition to meeting the minimum Qualification Requirements:   Incumbents may be required to update existing and/or obtain additional professional industry-standard certification(s) for current and future technical environment(s) in which they may be assigned to work",Section 424-A of the New York Social Services Law requires an authorized agency to inquire whether a candidate for employment with child-caring responsibilities has been the subject of a child abuse and maltreatment report.    The City of New York and the Administration for Childrenâ€™s Services are Equal Opportunity Employers Committed to Diversity,"\"Click on the \"\"Apply Now\"\" Button.\"","","",New York City Residency is not required for this position,2015-03-30T00:00:00.000,"",72260.0,98163.0,85211.5,25903.0,"","",1
192723,DEPT OF INFO TECH & TELECOMM,Internal,1,Research Assistant,RESEARCH ASSISTANT,0,Clerical & Administrative Support Legal,F,40055,60611,Annual,75 Park Place New York Ny,General Counsel,"\"\"2\"\"",in statistics,quantitative methods,or research can be substituted for six months of the required experience. However,"","The successful candidate should possess the following: Ability to work effectively and cordially with legal, analytical and clerical staff, willingness to handle wide variety of assignments, top-level attention to detail, high level ability with advanced Microsoft Word features, ability to work independently with a wide variety of computer applications.",NOTE THAT THE SUCCESSFUL APPLICANT MUST CURRENTLY HOLD A PERMANENT OR PROBATIONARY RESEARCH ASSISTANT TITLE.  APPLICANTS MUST INDICATE THEIR COMPLIANCE WITH THIS REQUIREMENT IN THEIR COVER LETTERS OR RESUMES.,"MUST CURRENTLY HOLD A PERMANENT OR PROBATIONARY RESEARCH ASSISTANT TITLE  For City employees, please go to Employee Self Service (ESS), click on Recruiting Activities > Careers, and search for Job ID #192723 -or- If you do not have access to a computer, please mail resume indicating Job ID # to:  Department of Information Technology and Telecommunications (DoITT)  Recruitment Office - 255 Greenwich Street - 9th Floor - New York, NY 10007  SUBMISSION OF A RESUME IS NOT A GUARANTEE THAT YOU WILL RECEIVE AN INTERVIEW APPOINTMENTS ARE SUBJECT TO OVERSIGHT APPROVAL",40055.0,60611.0,50333.0,20556.0,"","",0
192756,DEPARTMENT OF TRANSPORTATION,Internal,1,Systems Administrator - Computer Software,CERTIFIED IT ADMINISTRATOR LAN,3,Information Technology & Telecommunications,F,81290,114954,Annual,55 Water St Ny Ny,IT & Telecom,"all candidates must have at least one year of satisfactory (not classroom based) full-time information technology experience as described in \"\"1\"\" above.  Note:   In addition to meeting the minimum Qualification Requirements:   Incumbents may be required to update existing and/or obtain additional professional industry-standard certification(s) for current and future technical environment(s) in which they may be assigned to work","","All resumes are to be submitted electronically.  Current City Employees:   Please log into Employee Self Service (ESS) at https://hrb.nycaps.nycnet, follow the Careers link and search for Job ID number 192756.  All other applicants: Please go to www.nyc.gov/careers/search and search for Job ID Number 192756.  If you do not have access to a personal computer: Please visit your local public library.  Most public libraries have computers available for use.  No phone calls, faxes or personal inquiries permitted. Only those applicants under consideration will be contacted. For more information about DOT, visit us at: www.nyc.gov/dot.",55 Water St Ny Ny,"",New York City Residency is not required for this position,2015-05-11T00:00:00.000,"",81290.0,114954.0,98122.0,33664.0,"","",1
192756,DEPARTMENT OF TRANSPORTATION,External,1,Systems Administrator - Computer Software,CERTIFIED IT ADMINISTRATOR LAN,3,Information Technology & Telecommunications,F,81290,114954,Annual,55 Water St Ny Ny,IT & Telecom,"all candidates must have at least one year of satisfactory (not classroom based) full-time information technology experience as described in \"\"1\"\" above.  Note:   In addition to meeting the minimum Qualification Requirements:   Incumbents may be required to update existing and/or obtain additional professional industry-standard certification(s) for current and future technical environment(s) in which they may be assigned to work","","All resumes are to be submitted electronically.  Current City Employees:   Please log into Employee Self Service (ESS) at https://hrb.nycaps.nycnet, follow the Careers link and search for Job ID number 192756.  All other applicants: Please go to www.nyc.gov/careers/search and search for Job ID Number 192756.  If you do not have access to a personal computer: Please visit your local public library.  Most public libraries have computers available for use.  No phone calls, faxes or personal inquiries permitted. Only those applicants under consideration will be contacted. For more information about DOT, visit us at: www.nyc.gov/dot.",55 Water St Ny Ny,"",New York City Residency is not required for this position,2015-05-11T00:00:00.000,"",81290.0,114954.0,98122.0,33664.0,"","",1
193109,DEPT OF INFO TECH & TELECOMM,Internal,1,311 Call Center Manager,ADM MANAGER-NON-MGRL FRM M1/M2,0,Clerical & Administrative Support Community & Business Services,F,53373,72000,Annual,59 Maiden Lane,311 Operations,18 months of which must have been in an administrative,"full-time progressively responsible experience as described in \"\"1\"\"  above",18 months of which must have been in an administrative,"executive or supervisory capacity. The supervisory work must have been in the  supervision of staff performing clerical/administrative work of more than  moderate difficulty; or  4. Education and/or experience equivalent to \"\"1\"\"","",all  candidates must possess the 18 months of administrative,managerial,"executive or supervisory experience as described in \"\"1\"\"",53373.0,72000.0,62686.5,18627.0,"","",0
195805,ADMIN FOR CHILDREN'S SVCS,Internal,2,Tracking and Monitoring Data Analyst,ASSOCIATE STAFF ANALYST,0,Social Services,F,59536,88649,Annual,"66 John Street, New York, Ny",Headstart (ECE),â€¢	Excellent interpersonal skills â€¢	Exceptional written and communication skills â€¢	Excellent and demonstrable ability to develop verbal and written presentations,"","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",05/29/2015,"",2015-06-16T00:00:00.000,2019-12-17T00:00:00.000,59536.0,88649.0,74092.5,29113.0,2015,"",1
195805,ADMIN FOR CHILDREN'S SVCS,External,2,Tracking and Monitoring Data Analyst,ASSOCIATE STAFF ANALYST,0,Social Services,F,59536,88649,Annual,"66 John Street, New York, Ny",Headstart (ECE),â€¢	Excellent interpersonal skills â€¢	Exceptional written and communication skills â€¢	Excellent and demonstrable ability to develop verbal and written presentations,"","","New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",05/29/2015,"",2015-06-16T00:00:00.000,2019-12-17T00:00:00.000,59536.0,88649.0,74092.5,29113.0,2015,"",1
197316,DEPT OF INFO TECH & TELECOMM,Internal,4,311 Escalation Line Team Leader,ASSOCIATE CALL CENTER REPRESEN,1,Community & Business Services,F,43118,49586,Annual,59 Maiden Lane,311 Operations,"full-time experience working for New York City government in a customer service or public information capacity may be substituted for up to two years of this experience. College credit may be substituted for the experience in a customer service or public information capacity on the basis of 64 semester credits for each year of the experience described in \"\"2\"\" above.  To be eligible for assignment to Assignment Level II",either:  a) two more years of satisfactory full-time experience in a customer service or public information capacity; or  b) One more year of full-time satisfactory experience working for New York City government in a customer service or public information capacity.  However,"all candidates for Assignment Level II must have at least one additional year of customer service or public information experience.\"","","","Due to the necessary duties of this position in a 24/7 operation, candidate may be required to work various shifts such as weekends and/or nights/evenings.","","",43118.0,49586.0,46352.0,6468.0,"","",0
